candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
0,0.0,False,0,0.0,2,10000,True,0.16051912032139204,-1.4033277719039523,1.2136611237138723e-141,-25.338161025884556,False,
0,0.0,False,0,0.0,5,4000,True,0.023911650526569708,-2.258545832460004,1.0611389530249665e-255,-34.15676356517842,False,
0,0.0,False,0,0.0,10,2000,True,0.02477037627932095,-2.244965050726472,3.784605118281119e-232,-32.53182586725253,False,
0,0.0,False,0,0.0,20,1000,True,0.12213818370528609,-1.5458608238402933,1.1515153211442463e-163,-27.26344118194621,False,
0,0.0,False,0,0.0,40,500,True,0.04882990414345699,-1.9700738784753515,4.368235558631607e-105,-21.77101769934335,False,
133,133.0,False,133,133.0,2,9933,True,0.06708081743698546,-1.831132173074036,1.2662260836813332e-138,-25.06279873684987,False,
133,133.0,False,133,133.0,5,3973,True,0.04065412144239488,-2.0470403650294338,1.9055194795142683e-249,-33.73288579573587,False,
133,133.0,False,133,133.0,10,1986,True,0.03396400811351822,-2.12049873481058,9.354527672234997e-218,-31.49765007346566,False,
133,133.0,False,133,133.0,20,993,True,0.055472316208133685,-1.9151583193529222,1.8329692187974317e-160,-26.99203499754916,False,
133,133.0,False,133,133.0,40,496,True,0.015167804599435307,-2.4283474488780414,1.5593736068406581e-100,-21.285122982108778,False,
266,266.0,False,266,266.0,2,9867,True,0.1229398920338383,-1.5425504344745622,2.3365194675869163e-130,-24.292786644008803,False,
266,266.0,False,266,266.0,5,3946,True,0.01797391718945851,-2.366155008375298,1.3711804860839872e-233,-32.63355896266355,False,
266,266.0,False,266,266.0,10,1973,True,0.01659805773724916,-2.3954924131300004,4.4123351805274757e-209,-30.857726888798034,False,
266,266.0,False,266,266.0,20,986,True,0.010357302010204135,-2.56366646815224,2.3561814510365595e-153,-26.379486992258258,False,
266,266.0,False,266,266.0,40,493,True,0.02766169093482068,-2.202051215507029,1.205245586933765e-97,-20.971069330232528,False,
399,399.0,False,399,399.0,2,9800,True,0.10096436262267205,-1.6401962796440757,1.197574649468031e-126,-23.93918869855966,False,
399,399.0,False,399,399.0,5,3920,True,0.04513049749594092,-2.003436122477258,4.715382143334454e-229,-32.312194749847855,False,
399,399.0,False,399,399.0,10,1960,True,0.0864665444970378,-1.714338673000728,3.800826726366725e-210,-30.936996127932275,False,
399,399.0,False,399,399.0,20,980,True,0.05646262955519086,-1.9074477613203236,1.193161200493631e-152,-26.318010731098678,False,
399,399.0,False,399,399.0,40,490,True,0.03071850647065092,-2.1607001869382225,7.282551613447708e-98,-20.995024413572526,False,
532,532.0,False,532,532.0,2,9734,True,0.09784279702773847,-1.6554029054981385,9.971935713543704e-117,-22.96697392533631,False,
532,532.0,False,532,532.0,5,3893,True,0.04790860711219354,-1.978178200059716,1.1185369622897844e-222,-31.855106246974966,False,
532,532.0,False,532,532.0,10,1946,True,0.07705337160176627,-1.768045056238689,1.8677542662964492e-201,-30.283902385277344,False,
532,532.0,False,532,532.0,20,973,True,0.12020268821036226,-1.553923404618979,1.8578590918186026e-149,-26.037624718481478,False,
532,532.0,False,532,532.0,40,486,True,0.06452182804611808,-1.8485568515916766,2.2371240297183718e-95,-20.721058622590547,False,
665,665.0,False,665,665.0,2,9667,True,0.14927549100087778,-1.4420952992281788,2.4479650116375776e-117,-23.027931847265478,False,
665,665.0,False,665,665.0,5,3867,True,0.012990633985181067,-2.4840259533740245,2.157488264592409e-207,-30.731548362490997,False,
665,665.0,False,665,665.0,10,1933,True,0.03464527102575488,-2.1124803338045326,5.018085705830348e-191,-29.48118089514002,False,
665,665.0,False,665,665.0,20,966,True,0.017253326849795598,-2.3812643253869763,1.72476183562224e-142,-25.414929622582978,False,
665,665.0,False,665,665.0,40,483,True,0.024729279732845826,-2.245605627193599,1.4534965517774354e-91,-20.29397656402479,False,
798,798.0,False,798,798.0,2,9601,True,0.1527286256130405,-1.4299595615472143,6.658457896393245e-102,-21.432448711547615,False,
798,798.0,False,798,798.0,5,3840,True,0.0857348457451369,-1.718338747351195,2.5909303511255504e-205,-30.575508811360436,False,
798,798.0,False,798,798.0,10,1920,True,0.10591571220293015,-1.6168266170468328,2.6520972712197057e-190,-29.424718819475896,False,
798,798.0,False,798,798.0,20,960,True,0.1156067952164741,-1.5734839786002044,3.555318934015211e-141,-25.295773082986788,False,
798,798.0,False,798,798.0,40,480,True,0.0687069081400974,-1.8203422034215808,1.6327375722252193e-90,-20.174723612979815,False,
931,931.0,False,931,931.0,2,9534,True,0.10512624202419503,-1.6204938142791718,1.9792776191498617e-105,-21.807272919043946,False,
931,931.0,False,931,931.0,5,3813,True,0.019160914503077685,-2.342385456332596,1.649068692882228e-187,-29.20554340658765,False,
931,931.0,False,931,931.0,10,1906,True,0.056026267772811174,-1.9108312703075183,1.2838364124808307e-182,-28.817794820804647,False,
