start_index,ts,g,neff
0.0,0.0,158.0162429794925,11.289978589299388
11.0,11000.0,152.81964355608338,11.601911630878302
22.0,22000.0,145.51228855735434,12.108942945430341
33.0,33000.0,138.61498111151332,12.63211224327442
44.0,44000.0,132.22747702823733,13.159140891937467
55.0,55000.0,126.9340095005438,13.621250969722128
66.0,66000.0,122.9147452445923,13.977167642346673
77.0,77000.0,120.8095129393528,14.129681996623276
88.0,88000.0,120.96693139516533,14.020360609625117
99.0,99000.0,121.15284428803047,13.908051518741544
110.0,110000.0,121.31890106675974,13.798344571871997
121.0,121000.0,121.8933017529093,13.643079448049393
132.0,132000.0,121.18451373290267,13.63210487142853
143.0,143000.0,121.55702110173374,13.499837237921543
154.0,154000.0,122.96477129771759,13.25582915169668
165.0,165000.0,126.53447143666098,12.794932334390937
176.0,176000.0,131.1074023325366,12.264753716357834
187.0,187000.0,135.7102195121211,11.767720999503373
198.0,198000.0,141.1446589308021,11.236698660893403
209.0,209000.0,145.30853956196847,10.839005090463546
220.0,220000.0,149.35210693467616,10.471897799768334
231.0,231000.0,150.4116211366974,10.325000078209378
242.0,242000.0,148.01507804973448,10.417857560983572
253.0,253000.0,144.23009872537963,10.614982680661479
264.0,264000.0,136.45770129737355,11.138982890291851
275.0,275000.0,127.05120912897604,11.877100661577636
286.0,286000.0,118.53636781903245,12.63747175286299
297.0,297000.0,109.351165139213,13.598391915686744
308.0,308000.0,101.78805146147236,14.500719670016263
319.0,319000.0,93.93406054592512,15.59604675328338
330.0,330000.0,87.58347818596745,16.60130460807571
341.0,341000.0,80.9220133186069,17.83198342234278
352.0,352000.0,76.80267502183459,18.645183902681644
363.0,363000.0,73.45361207514352,19.34554285153884
374.0,374000.0,68.55846210873065,20.566388985852733
385.0,385000.0,61.869872628297855,22.611974787873244
396.0,396000.0,56.871165405735354,24.40604109477283
407.0,407000.0,51.916258810337986,26.523482846298634
418.0,418000.0,43.1777474467661,31.636666588134158
429.0,429000.0,38.27413249747562,35.40250063379933
440.0,440000.0,32.77042300598719,41.01259235361258
451.0,451000.0,31.068374988627824,42.90536600282208
462.0,462000.0,27.105563070786097,48.77227588106548
473.0,473000.0,23.85477433168873,54.95755196721626
484.0,484000.0,21.205103124035837,61.305997542000114
495.0,495000.0,19.65558887476654,65.5793122359612
506.0,506000.0,8.05971801477832,158.5663416085595
517.0,517000.0,7.865319275859355,161.0869127574696
528.0,528000.0,7.6985932844611185,163.14668843918759
539.0,539000.0,7.291868804101637,170.7381239908889
550.0,550000.0,6.905851561217658,178.68904204804798
561.0,561000.0,6.622942543339966,184.6611218498112
572.0,572000.0,6.5049512968492795,186.31961173745313
583.0,583000.0,6.362220236236396,188.77057935838727
594.0,594000.0,5.655407932241219,210.4180660807623
605.0,605000.0,5.303589338912386,222.30227958067718
616.0,616000.0,5.212627602405771,224.07125332738826
627.0,627000.0,5.269169081538391,219.5792129832739
638.0,638000.0,5.34309582236557,214.4823971157281
649.0,649000.0,5.145324045114623,220.58863349484446
660.0,660000.0,5.091150856073535,220.77522976148194
671.0,671000.0,5.091338535050637,218.60655942198713
682.0,682000.0,4.931118465920499,223.47871129360263
693.0,693000.0,4.990076884478938,218.63390590101534
704.0,704000.0,5.039988307013008,214.28621143767518
715.0,715000.0,5.081491062754542,210.37132345570305
726.0,726000.0,5.0281333831291875,210.41605689099057
737.0,737000.0,5.067192104670822,206.62330899886337
748.0,748000.0,5.19613937177439,199.37879373051234
759.0,759000.0,5.18140845576866,197.82265936954425
