m_init,status,ts,m_final,n_final
2,pass,558986.6666666671,19,64
10,pass,535200.0000000006,24,52
20,pass,517360.00000000064,25,50
25,pass,493573.3333333339,33,39
30,failed_n_below_min,487626.6666666672,55,23
