start_index,ts,g,neff
0.0,0.0,6238.37994799282,3.2059605485291
133.0,133.0,6201.109298121053,3.203781621139904
266.0,266.0,6162.760157779753,3.2021366230013295
399.0,399.0,6123.6730756692505,3.200856701165064
532.0,532.0,6083.802866875359,3.1999721927214195
665.0,665.0,6043.349236948666,3.199384851331609
798.0,798.0,6001.903330216052,3.199318440090367
931.0,931.0,5959.870903623189,3.1995659483844467
1064.0,1064.0,5917.1233970133235,3.2002036681469197
1197.0,1197.0,5873.571190450619,3.201289197034052
1330.0,1330.0,5828.9096066502425,3.2030004340261633
1463.0,1463.0,5783.594452200694,3.2051002457384534
1596.0,1596.0,5737.485881943377,3.207676738328858
1729.0,1729.0,5689.945710965418,3.211102693790016
1862.0,1862.0,5641.558563594068,3.2150689912265706
1995.0,1995.0,5592.754436265143,3.2193439217087794
2128.0,2128.0,5542.855364733272,3.2243309312582107
2261.0,2261.0,5491.145881224536,3.2304732716451103
2394.0,2394.0,5438.577076126441,3.237243814615505
2527.0,2527.0,5384.971021596151,3.2447714072973515
2660.0,2660.0,5330.780650368226,3.2528068846355986
2793.0,2793.0,5274.937365897987,3.2620292538906273
2926.0,2926.0,5218.445569947262,3.2718555307596224
3059.0,3059.0,5160.686684959399,3.282702677799414
3192.0,3192.0,5101.743426994451,3.294560034333589
3325.0,3325.0,5041.78860909341,3.307358021699846
3458.0,3458.0,4980.7849824765335,3.3211632419785824
3591.0,3591.0,4919.134713335381,3.3357492640964908
3724.0,3724.0,4856.221688714923,3.351576810799804
3857.0,3857.0,4791.776837493918,3.368896454794571
3990.0,3990.0,4725.481882938289,3.388014258991304
4123.0,4123.0,4658.279780511442,3.40833971940106
4256.0,4256.0,4589.423204154285,3.4304964479520526
4389.0,4389.0,4519.078660490343,3.454465206920325
4522.0,4522.0,4447.5128326354115,3.4801473503176785
4655.0,4655.0,4374.793556189414,3.507594084820311
4788.0,4788.0,4300.723866112453,3.5370789833457876
4921.0,4921.0,4225.055024643157,3.5689476023507067
5054.0,5054.0,4148.690492752945,3.602582556136235
5187.0,5187.0,4070.303393643875,3.63928645297836
5320.0,5320.0,3991.1692287125475,3.678120159474021
5453.0,5453.0,3909.240791118079,3.721182904120732
5586.0,5586.0,3827.3711594372726,3.7660314089107705
5719.0,5719.0,3743.871435396867,3.814500643632852
5852.0,5852.0,3658.696650710518,3.866950816283843
5985.0,5985.0,3572.111872401729,3.923449348907692
6118.0,6118.0,3484.155310376913,3.9843229601892394
6251.0,6251.0,3394.7919043214692,4.050027332308037
6384.0,6384.0,3302.9012617989865,4.122436282755784
6517.0,6517.0,3208.969441560092,4.201660453782639
6650.0,6650.0,3115.0725399525727,4.2856144853060965
6783.0,6783.0,3018.775905446053,4.378264705291883
6916.0,6916.0,2920.9172023300976,4.479414887064421
7049.0,7049.0,2821.4217648102995,4.59023892192551
7182.0,7182.0,2721.576692575497,4.709769904690799
7315.0,7315.0,2619.916199947869,4.841757915864792
7448.0,7448.0,2516.493072127104,4.987893723621592
7581.0,7581.0,2410.214049863354,5.152654387980225
7714.0,7714.0,2302.568034171978,5.335781535079872
7847.0,7847.0,2193.9469813108913,5.539331671879572
7980.0,7980.0,2082.9800153462415,5.770578647631425
8113.0,8113.0,1970.951733171505,6.031096449466242
8246.0,8246.0,1858.0083055521447,6.326128879443874
8379.0,8379.0,1742.9655615047498,6.667372125222758
8512.0,8512.0,1627.9630135762345,7.056671376558911
8645.0,8645.0,1511.541355849096,7.512199356015253
8778.0,8778.0,1393.8672905919702,8.050981665000588
8911.0,8911.0,1275.243943412121,8.695591190442817
9044.0,9044.0,1155.3118939141737,9.48315347371807
9177.0,9177.0,1034.4446160098726,10.462619102554937
9310.0,9310.0,910.6306380650856,11.739117434829765
9443.0,9443.0,789.0041566757881,13.380157646416565
9576.0,9576.0,667.1837798733995,15.62388102717064
9709.0,9709.0,544.4557410025498,18.901444552775512
9842.0,9842.0,423.51367378573934,23.985057930240654
9975.0,9975.0,303.18186725832084,33.06596166405418
10108.0,10108.0,186.68794827593206,52.98681618900883
10241.0,10241.0,80.06167153668991,121.89353298135596
10374.0,10374.0,4.420192206880556,2177.7333539966844
10507.0,10507.0,1.0,9493.0
10640.0,10640.0,1.0,9360.0
10773.0,10773.0,1.0,9227.0
10906.0,10906.0,1.0,9094.0
11039.0,11039.0,1.0,8961.0
11172.0,11172.0,1.0,8828.0
11305.0,11305.0,1.0,8695.0
11438.0,11438.0,1.0,8562.0
11571.0,11571.0,1.0,8429.0
11704.0,11704.0,1.0,8296.0
11837.0,11837.0,1.0,8163.0
11970.0,11970.0,1.0,8030.0
12103.0,12103.0,1.0,7897.0
12236.0,12236.0,1.0,7764.0
12369.0,12369.0,1.0,7631.0
12502.0,12502.0,1.0,7498.0
12635.0,12635.0,1.0,7365.0
