candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
0,0.0,False,0,0.0,2,10000,True,0.0,73.79676737237534,0.27559103527293594,-1.090277245900176,False,
0,0.0,False,0,0.0,5,4000,True,0.0,46.19751976844968,0.5415347908834249,-0.6104937370884918,False,
0,0.0,False,0,0.0,10,2000,True,3.6735839946385325e-231,32.46195255802849,0.6872106745634781,-0.4026432679805577,False,
0,0.0,False,0,0.0,20,1000,True,5.805205699294633e-113,22.58708658330503,0.7661768911845258,0.2973793710913718,False,
0,0.0,False,0,0.0,40,500,True,1.4330392223472956e-54,15.556697892821207,0.7061925100273829,0.37697456099752746,False,
133,133.0,False,133,133.0,2,9933,True,0.0,73.53814431827583,0.6532900688036799,0.44919628274855355,False,
133,133.0,False,133,133.0,5,3973,True,0.0,46.0064084604004,0.6016135239865156,0.5220815900348605,False,
133,133.0,False,133,133.0,10,1986,True,1.3621235808337373e-229,32.350566154010416,0.8239935950965942,0.2224114552953988,False,
133,133.0,False,133,133.0,20,993,True,1.6911539339298683e-113,22.641518785330913,0.5600564622038311,0.5827576437708882,False,
133,133.0,False,133,133.0,40,496,True,1.5239772064144849e-55,15.699517091322635,0.2507975091080167,1.1484144551645454,False,
266,266.0,False,266,266.0,2,9867,True,0.0,73.45645136505503,0.3855249007984669,-0.8677615176726212,False,
266,266.0,False,266,266.0,5,3946,True,0.0,46.03570429525823,0.8709426433036516,-0.1624612469057632,False,
266,266.0,False,266,266.0,10,1973,True,2.7717233559069465e-230,32.39969787830541,0.7878811857061372,0.2690630218475994,False,
266,266.0,False,266,266.0,20,986,True,1.2977471017323186e-112,22.551512164670562,0.5602405600061804,0.5824842311505354,False,
266,266.0,False,266,266.0,40,493,True,1.1465254350437986e-55,15.717561285581858,0.4661689610002486,0.728726529998163,False,
399,399.0,False,399,399.0,2,9800,True,0.0,73.10005040649041,0.6522617183059459,0.45062240163394185,False,
399,399.0,False,399,399.0,5,3920,True,0.0,45.81789106436401,0.9900054859599436,0.012526593337151089,False,
399,399.0,False,399,399.0,10,1960,True,1.7211560743988127e-227,32.20077874247296,0.9395864646327081,0.07578963229292604,False,
399,399.0,False,399,399.0,20,980,True,1.2257922349010377e-111,22.45191380346178,0.6464060335270507,0.4587606802622263,False,
399,399.0,False,399,399.0,40,490,True,3.0788055863801396e-54,15.50766338156045,0.5675539365283961,0.5716576414828887,False,
532,532.0,False,532,532.0,2,9734,True,0.0,72.87920256092062,0.40144686365750704,-0.8390399999684661,False,
532,532.0,False,532,532.0,5,3893,True,0.0,45.71629500202426,0.7232339335328479,-0.3541400438180028,False,
532,532.0,False,532,532.0,10,1946,True,3.976568582186562e-225,32.03147651756606,0.9399631067809865,-0.07531623214357491,False,
532,532.0,False,532,532.0,20,973,True,1.1498972387640163e-110,22.352180243813418,0.6160564138640741,0.5014472208256884,False,
532,532.0,False,532,532.0,40,486,True,5.922993365257762e-54,15.465588009127098,0.31445663668235846,1.0059146327929298,False,
665,665.0,False,665,665.0,2,9667,True,0.0,72.4560635221466,0.5063683901369312,0.6645030614966518,False,
665,665.0,False,665,665.0,5,3867,True,0.0,45.385268365477586,0.6391658809410197,-0.46886535569836596,False,
665,665.0,False,665,665.0,10,1933,True,9.236491468801244e-222,31.78882933034053,0.6439782972850969,0.46214366732653994,False,
665,665.0,False,665,665.0,20,966,True,2.1588557210398023e-107,22.013066390105617,0.44510441056548233,0.7636020780108844,False,
665,665.0,False,665,665.0,40,483,True,4.832644278950258e-53,15.329828009916996,0.40931445920337794,0.8251006350733958,False,
798,798.0,False,798,798.0,2,9601,True,0.0,72.1825042509242,0.49182920194242585,-0.6874023741502133,False,
798,798.0,False,798,798.0,5,3840,True,0.0,45.00482492797548,0.5217373615244265,0.6406696119629056,False,
798,798.0,False,798,798.0,10,1920,True,1.8640757169383674e-219,31.621598337583226,0.6303932917845354,0.48117336148317197,False,
798,798.0,False,798,798.0,20,960,True,6.48192234880386e-107,21.963167676956456,0.49818715335848107,0.6773448933691139,False,
798,798.0,False,798,798.0,40,480,True,3.082908920525637e-51,15.057485617881689,0.5067310034901014,0.6639364224965897,False,
931,931.0,False,931,931.0,2,9534,True,0.0,71.83435210508804,0.42848171244544275,0.7917924378234794,False,
931,931.0,False,931,931.0,5,3813,True,0.0,44.98217029112934,0.9033417581717353,-0.12144098194544467,False,
931,931.0,False,931,931.0,10,1906,True,1.247910704455148e-218,31.561474920971595,0.8654971514842978,-0.16938076591688989,False,
931,931.0,False,931,931.0,20,953,True,4.8202678575278245e-107,21.976621440447705,0.5716632385812974,0.5656036609681954,False,
931,931.0,False,931,931.0,40,476,True,7.778934926148168e-52,15.1482683135995,0.2737070067729207,1.0945655690125873,False,
1064,1064.0,False,1064,1064.0,2,9468,True,0.0,71.6906147745131,0.5035301469317017,-0.6689456524958283,False,
1064,1064.0,False,1064,1064.0,5,3787,True,0.0,44.770257580302456,0.5930612813378644,0.5344051143408125,False,
1064,1064.0,False,1064,1064.0,10,1893,True,1.8884040359484277e-215,31.328859399177272,0.5717423147206571,0.5654873667440559,False,
1064,1064.0,False,1064,1064.0,20,946,True,1.7824029745554117e-104,21.706467901305775,0.49927203106420404,0.6756356031399544,False,
1064,1064.0,False,1064,1064.0,40,473,True,5.484620561640179e-51,15.019345955167545,0.46434772825899706,0.7317064999192765,False,
